,user_id,doc_id,query
0,7,FBIS3-941,SAP AFRICAN SOUTH AFRICAN POLICE
1,51,FT932-2039,COLLEGE
2,94,LA061189-0066,LICENCE BRITAIN
3,11,FT933-12437,CBR POLAND GORAZDZE
4,32,LA110389-0020,LANCASTER WATTERS ANTELOPE
5,46,LA010689-0065,SATURDAY BURCHERI VAN
6,14,FT921-4678,CONSERVATIVE
7,19,LA021389-0034,NORTON REP BROWN FORCE
8,76,FT932-11415,DR FTI MR
9,59,FT922-2583,SITES
10,53,FBIS3-26109,CHINA MAILBOX CODE XINHUA
11,13,FBIS4-34282,PERU
12,35,FT942-7808,BUSINESS SOUTHERN SHAW
13,49,FT931-8400,FIREBIRD RUSSIAN DIAGHILEV ROYAL ANANIASHVILI
14,69,FT942-7808,WILLIAM SHAW SOUTHERN BUSINESS GROUP
15,70,FT932-13625,FFR870M DOLLARS FRANCE
16,39,FT924-11359,AMERICAN
17,74,LA010589-0153,WOODBURY CONWAY VALLEY BURBANK PRACTICAL
18,53,LA101890-0061,PRESIDENT
19,48,LA061189-0066,BRITISH WILSON BRITAIN LICENCE KILL
20,16,FT924-10406,ARSENAL LIVERPOOL
21,21,LA010589-0153,BURBANK PRACTICAL CONWAY WOODBURY
22,1,FBIS3-59533,GALILEO FINMECCANICA MOVE EFIM
23,39,FBIS3-46903,NSC CAMBODIAN GOVERNMENT HOUSE
24,21,FBIS3-46903,COMMENTS HOUSE
25,13,FBIS4-52832,JAPAN
26,9,FBIS3-5499,JAPAN INDOCHINA SPECIAL NAGASAKI
27,85,LA060289-0141,CHULA CALIFORNIA SIMMONS THURSDAY HIGHWAY
28,63,FT943-9028,EXCHANGE DOLLARS THURSDAY
29,17,FT932-10956,DIRECT
30,64,FT921-13446,SWEDEN NETHERLANDS BRITISH VITA
31,95,FT943-8335,PEUGEOT EUROPEAN EUROPE
32,36,FT922-6700,AEG STOCKL
33,39,LA022690-0035,DAVID CHANNELS HILL MICHAEL
34,25,LA010889-0044,RUE PARIS ESSEL SENNEVILLE TURBIGO
35,82,FT932-8178,GARY BSKYB MEAD
36,33,FBIS3-45990,AIG LIU
37,31,FBIS4-53502,WEDNESDAY DPRK
38,52,FBIS3-28421,ASSEMBLY FEBRUARY EXPRESSES NATIONAL
39,37,FT932-15678,UK WELLCOME FT CLINTON
40,33,LA101890-0061,BUSH PRESIDENT HOUSE DEMOCRATS
41,54,FT941-5416,INDUSTRIAL
42,42,LA101689-0071,ORANGE SANTA ANA CALIFORNIA CIVIC
43,18,FT932-15678,UK WELLCOME RETROVIR
44,57,FT924-5210,GUYANA BARBADOS
45,71,FT932-11415,FTI DR
46,26,FBIS4-47649,YEMEN AMMAN
47,26,FBIS4-9718,CONGRESS SCN
48,97,FT932-8178,MEAD BSKYB
49,86,FBIS3-17404,RUSSIAN SAMADOV TAJIK
50,17,LA122789-0023,GOODWILL RUTH INDUSTRIES
51,53,FT932-2039,COLLEGE LONDON TEAM
52,28,FBIS3-45990,CHINA LIU CHEN AIG STATES
53,24,FT921-8719,LAS MEXICO
54,59,FT942-7808,SOUTHERN SHAW BUSINESS
55,70,FT924-10406,SUDDENLY LIVERPOOL
56,71,FT941-988,SEA AP BORIS BLACK
57,10,FT932-7171,MR SOUTH COOPER
58,51,LA100389-0056,IRVINE MATTERA ORANGE VALLEY EL
59,23,FT923-13298,FRANKFURT EUROPEAN MR
60,34,FBIS3-33193,CHIAPAS MEXICAN SALINAS GORTARI
61,12,FBIS3-45990,CHINA LIU CHEN AIG STATES
62,36,FBIS3-2118,TIANJIN FOREIGN
63,72,FT932-13625,ACCOR FRENCH FRANCE FFR870M DOLLARS
64,31,FT924-1857,LORD
65,9,LA061189-0151,SALVADOR
66,5,FT924-13307,RAPID GLOWING LLOYDS
67,55,LA050690-0011,ANGELES DIEGO
68,37,FT924-10828,WELLCOME ZOVIRAX DEMOCRATIC JULY RETROVIR
69,43,FBIS4-34282,PERU JULY PEREZ CUELLAR
70,23,FT931-8400,ANANIASHVILI
71,78,FT924-10828,DEMOCRATIC JULY
72,29,FT941-325,SOVIET MOSCOW POUNDS
73,47,FT941-5416,IRS
74,25,FT933-8371,GMF FNAC FRANCE PHENIX
75,65,FT921-8719,LAS HADAS MEXICO MANZANILLO MEXICAN
76,7,FT921-8719,MANZANILLO HADAS MEXICO MEXICAN
77,62,FBIS3-17404,WEST RUSSIAN AFGHANISTAN
78,12,FBIS3-27804,PRESIDENT KIM DELEGATION FRIDAY
79,47,FT943-8335,EUROPE GERMANY BRITAIN PEUGEOT EUROPEAN
80,95,FT944-10007,TUESDAY BRITISH
81,42,FT941-988,BLACK BORIS AP
82,37,FT942-7808,BUSINESS
83,75,FT911-2568,KURDISH IRAQ KURDS MR
84,35,FBIS3-59533,EFIM OTO GALILEO
85,50,LA010590-0070,THURSDAY ALBANIANS
86,78,FT934-11574,QMH MARCH QUEENS MOAT HOUSES
87,88,LA041389-0183,PASADENA EFFICIENT BERNARDI JOHN
88,55,FBIS4-54681,BURMA POLISH MEISSNER VIEWED SALE
89,17,LA010589-0153,WOODBURY CONWAY VALLEY BURBANK PRACTICAL
90,14,FT934-11574,HOUSES MARCH
91,45,FT922-306,FINLAND EUROPEAN FINNISH UNION SAMPO
92,41,LA021389-0034,FORCE
93,78,FT931-10162,COOPERS LYBRAND DEPARTMENT MR DAVID
94,46,FBIS4-47649,YEMENI AMMAN SANAA JORDANIAN
95,85,FT932-10956,POUNDS ROYAL DIRECT
96,38,LA110389-0020,WEEKS THURSDAY WATTERS
97,74,FT941-5416,IRS INDUSTRIAL
98,18,FBIS3-49066,COURT ETHNIC ALBANIANS SERBIAN
99,46,FT941-5416,JANUARY
100,51,FT943-8335,EUROPEAN GERMANY BRITAIN
101,55,LA120190-0108,LA JOLLA
102,59,LA091690-0028,WHITE BUSH
103,48,FT944-10007,TUESDAY NORTHUMBRIAN BROWN
104,24,FT932-15678,WELLCOME CLINTON UK RETROVIR FT
105,32,FBIS3-6011,MONDAY
106,43,LA060690-0032,ETTING MACARTHUR NAVEJA
107,41,LA110890-0004,PRESIDENT
108,29,FT911-2568,KURDS MR IRAQ
109,50,FT932-13625,DOLLARS
110,65,FT921-13446,POUNDS BRITISH VITA NETHERLANDS SWEDEN
111,15,FT922-306,UNION
112,24,FT941-325,POUNDS MOSCOW NARODNY LONDON SOVIET
113,16,FBIS4-12096,PALESTINIAN ISRAELI COMMITTEE SECURITY CIVILIAN
114,88,FT933-8371,ALTUS FRANCE PHENIX FNAC
115,26,FBIS3-28421,KIM NATIONAL ASSEMBLY FEBRUARY EXPRESSES
116,20,FBIS4-34282,CUELLAR PEREZ
